INDEX	ORIGINAL	TRANSLITERATED	PHONETIC	PARTOFSPEECH	STRONG	HTMLDEF
3603	odurmoV	Odurmos	od-oor-mos'	Noun Masculine	3602	Wailing, lamentation, mourning.
3604	o	Ho	ho	es-tee'      Verb	3603	Which is, that is.
3605	OziaV	Ozias	od-zee'-as	Noun Masculine	3604	Uzziah = "strength of Jehovah".\Son of Amaziah, king of Judah from B.C. 810 - 758.
3606	ozw	Ozo	od'-zo	Verb	3605	1. To give out an odour (either good or bad), to smell, emit a smell.\    A. of a decaying corpse.
3607	oqen	Hothen	hoth'-en	Adverb	3606	1. From which, whence.\    A. of the place from which.\    B. of the source from which a thing is known, from which, whereby.\    C. of the cause from which, for which reason, wherefore, on which account.
3608	oqonh	Othone	oth-on'-ay	Noun Feminine	3607	1. Linen (i.e. fine white linen for women's clothing).\2. Linen clothes (sheet or sail).
3609	oqonion	Othonion	oth-on'-ee-on	Noun Neuter	3608	1. A piece of linen, small linen cloth.\2. Strips of linen cloth for swathing the dead.
3610	oida	Oikeios	oy-ki'-os	Adjective	3609	1. Belonging to a house or family, domestic, intimate.\    A. belonging to one's household, related by blood, kindred.\    B. belonging to the household of God.\    C. belonging, devoted to, adherents of a thing.
3611	oiketeia	Oiketes	oy-ket'-ace	Noun Masculine	3610	1. One who lives in the same house as another, spoken of all who are under the authority of one and the same householder.\    A. a servant, a domestic.
3612	oikew	Oikeo	oy-keh'-o	Verb	3611	To dwell in.
3613	oikhma	Oikema	oy'-kay-mah	Noun Neuter	3612	1. A dwelling place, habitation.\2. Euphemistically a prison.
3614	oikhthrion	Oiketerion	oy-kay-tay'-ree-on	Noun Neuter	3613	1. A dwelling place, habitation.\    A. of the body as a dwelling place for the spirit.
3615	oikia	Oikia	oy-kee'-ah	Noun Feminine	3614	1. A house.\    A. an inhabited edifice, a dwelling.\    B. the inmates of a house, the family.\    C. property, wealth, goods.
3616	oikiakoV	Oikiakos	oy-kee-ak-os'	Noun Masculine	3615	1. One belonging to the house.\2. One under control of the master of a house, whether a son or a servant.
3617	oikodespotew	Oikodespoteo	oy-kod-es-pot-eh'-o	Verb	3616	1. To be master (or head) of a house.\2. To rule a household, manage family affairs.
3618	oikodespothV	Oikodespotes	oy-kod-es-pot'-ace	Noun Masculine	3617	Master of the house, householder.
3619	oikodomew	Oikodomeo	oy-kod-om-eh'-o	Verb	3618	1. To build a house, erect a building.\    A. to build (up from the foundation).\    B. to restore by building, to rebuild, repair.\2. Metaph.\    A. to found, establish.\    B. to promote growth in Christian wisdom, affection, grace, virtue, holiness, blessedness.\    C. to grow in wisdom and piety.
3620	oikodomh	Oikodome	oy-kod-om-ay'	Noun Feminine	3619	1. (the act of) building, building up.\2. Metaph. edifying, edification.\    A. the act of one who promotes another's growth in Christian wisdom, piety, happiness, holiness.\3. A building (i.e. the thing built, edifice).
3621	oikodomia	Oikodomia	oy-kod-om-ee'-ah	Noun Feminine	3620	(the act of) building, erection.
3622	oikonomew	Oikonomeo	oy-kon-om-eh'-o	Verb	3621	1. To be a steward.\2. To manage the affairs of a household.\3. To manage, dispense, order, regulate.
3623	oikonomia	Oikonomia	oy-kon-om-ee'-ah	Noun Feminine	3622	1. The management of a household or of household affairs.\    A. specifically, the management, oversight, administration, of other's property.\    B. the office of a manager or overseer, stewardship.\    C. administration, dispensation.
3624	oikonomoV	Oikonomos	oy-kon-om'-os	Noun Masculine	3623	1. The manager of a household or of household affairs.\    A. esp. a steward, manager, superintendent (whether free-born or as was usually the case, a freed-man or a slave) to whom the head of the house or proprietor has intrusted the management of his affairs, the care of receipts and expenditures, and the duty of dealing out the proper portion to every servant and even to the children not yet of age.\    B. the manager of a farm or landed estate, an overseer.\    C. the superintendent of the city's finances, the treasurer of a city (or of treasurers or quaestors of kings).\2. Metaph. the apostles and other Christian teachers and bishops and overseers.
3625	oikoV	Oikos	oy'-kos	Noun Masculine	3624	1. A house.\    A. An inhabited house, home.\    B. Any building whatever.\        1. Of a palace.\        2. The house of God, the tabernacle.\    C. Any dwelling place.\        1. Of the human body as the abode of demons that possess it.\        2. Of tents, and huts, and later, of the nests, stalls, lairs, of animals.\        3. The place where one has fixed his residence, one's settled abode, domicile.\2. The inmates of a house, all the persons forming one family, a household.\    A. The family of God, of the Christian Church, of the church of the Old and New Testaments.\3. Stock, family, descendants of one.
3626	oikoumenh	Oikoumene	oy-kou-men'-ay	Noun Feminine	3625	1. The inhabited earth.\    A. the portion of the earth inhabited by the Greeks, in distinction from the lands of the barbarians.\    B. the Roman empire, all the subjects of the empire.\    C. the whole inhabited earth, the world.\    D. the inhabitants of the earth, men.\2. The universe, the world.
3627	oikourgoV	Oikouros	oy-koo-ros'	Adjective	3626	1. Caring for the house, working at home.\    A. the (watch or) keeper of the house.\    B. keeping at home and taking care of household affairs.\    C. a domestic.
3628	oiktirw	Oikteiro	oyk-ti'-ro	Verb	3627	To pity, have compassion on.
3629	oiktirmoV	Oiktirmos	oyk-tir-mos'	Noun Masculine	3628	1. Compassion, pity, mercy.\    A. bowels in which compassion resides, a heart of compassion.\    B. emotions, longings, manifestations of pity.
3630	oiktirmwn	Oiktirmon	oyk-tir'-mone	Adjective	3629	Merciful.
3631	oinopothV	Oinopotes	oy-nop-ot'-ace	Noun Masculine	3630	A winebibber, given to wine, a wino.
3632	oinoV	Oinos	oy'-nos	Noun Masculine	3631	1. Wine.\2. Metaph. fiery wine of God's wrath.
3633	oinoflugia	Oinophlugia	oy-nof-loog-ee'-ah	Noun Feminine	3632	Drunkenness.
3634	oiomai	Oiomai	oy'-om-ahee	Verb	3633	To suppose, think.
3635	oioV	Hoios	hoy'-os		3634	What sort of, what manner of, such as.
3636	oknew	Okneo	ok-neh'-o	Verb	3635	1. To feel loath, to be slow.\2. To delay, hesitate.
3637	oknhroV	Okneros	ok-nay-ros'	Adjective	3636	Sluggish, slothful, backward.
3638	oktahmeroV	Oktaemeros	ok-tah-ay'-mer-os	Adjective	3637	1. Eight days old.\2. Passing the eighth day.
3639	oktw	Okto	ok-to'	Noun	3638	Eight.
3640	oleqroV	Olethros	ol'-eth-ros	Noun Masculine	3639	1. Ruin, destroy, death.\    A. for the destruction of the flesh, said of the external ills and troubles by which the lusts of the flesh are subdued and destroyed.
3641	oligopistia	Oligopistos	ol-ig-op'-is-tos	Noun Feminine	3640	Of little faith, trusting too little.
3642	oligoV	Oligos	ol-ee'-gos	Adjective	3641	1. Little, small, few.\    A. of number: multitude, quantity, or size.\    B. of time: short.\    C. of degree or intensity: light, slight.
3643	oligoyucoV	Oligopsuchos	ol-ig-op'-soo-khos	Adjective	3642	Fainthearted.
3644	oligwrew	Oligoreo	ol-ig-o-reh'-o	Verb	3643	To care little for, regard lightly, make small account.
3645	oloqreuthV	Olothreutes	ol-oth-ryoo-tace'	Noun Masculine	3644	A destroyer.
3646	oloqreuw	Olothreuo	ol-oth-ryoo'-o	Verb	3645	To destroy.
3647	olokautwma	Holokautoma	hol-ok-ow'-to-mah	Noun Neuter	3646	1. A whole burnt offering.\    A. a victim the whole (and not like other victims only a part) of which was burned.
3648	oloklhria	Holokleria	hol-ok-lay-ree'-ah	Noun Feminine	3647	1. Of an unimpaired condition of the body, in which all its members are healthy and fit for use.\    A. good health.
3649	oloklhroV	Holokleros	hol'-ok'-lay-ros	Adjective	3648	1. Complete in all its parts, in no part wanting or unsound, complete, entire, whole.\    A. of a body without blemish or defect, whether of a priest or of a victim.\    B. free from sin, faultless.\    C. complete in all respects, consummate.
3650	ololuzw	Ololuzo	ol-ol-odd'-zo	Verb	3649	1. To howl, wail, lament.\    A. of a loud cry whether for joy or of grief.
3651	oloV	Holos	hol'-os	Adjective	3650	All, whole, completely.
3652	olotelhV	Holoteles	hol-ot-el-ace'	Adjective	3651	Perfect, complete in all respects.
3653	OlumpaV	Olumpas	ol-oom-pas'	Noun Masculine	3652	Olympas = "heavenly".\A Christian at Rome.
3654	olunqoV	Olunthos	ol'-oon-thos	Noun Masculine	3653	An unripe fig which grows during the winter, yet does not come to maturity but falls off in the spring.
3655	olwV	Holos	hol'-oce	Adverb	3654	Wholly, altogether.
3656	ombroV	Ombros	om'-bros	Noun Masculine	3655	1. A shower.\    A. a violent storm, accompanied by high wind with thunder and lightning.
3657	omilew	Homileo	hom-il-eh'-o	Verb	3656	1. To be in company with.\2. To associate with.\3. To stay with.\4. To converse with, talk about: with one.
3658	omilia	Homilia	hom-il-ee'-ah	Noun Feminine	3657	Companionship, intercourse, communion.
3659	omiclh	Homilos	hom'-il-os	Noun Masculine	3658	A multitude of men gathered together, a crowd, a throng.
3660	omma	Omma	om'-mah	Noun Neuter	3659	An eye.
3661	omnuw	Omnuo	om-noo'-o	Verb	3660	1. To swear.\2. To affirm, promise, threaten, with an oath.\3. In swearing to call a person or thing as witness, to invoke, swear by.
3662	omoqumadon	Homothumadon	hom-oth-oo-mad-on'	Adverb	3661	With one mind, with one accord, with one passion.
3663	omoiazw	Homoiazo	hom-oy-ad'-zo	Verb	3662	To be like.
3664	omoiopaqhV	Homoiopathes	hom-oy-op-ath-ace'	Adjective	3663	Suffering the like with another, of like feelings or affections.
3665	omoioV	Homoios	hom'-oy-os	Adjective	3664	1. Like, similar, resembling.\    A. like: i.e. resembling.\    B. like: i.e. corresponding to a thing.
3666	omoiothV	Homoiotes	hom-oy-ot'-ace	Noun Feminine	3665	Likeness.
3667	omoiow	Homoioo	hom-oy-o'-o	Verb	3666	1. To be made like.\2. To liken, compare.\    A. illustrate by comparisons.
3668	omoiwma	Homoioma	hom-oy'-o-mah	Noun Neuter	3667	1. That which has been made after the likeness of something.\    A. a figure, image, likeness, representation.\    B. likeness i.e. resemblance, such as amounts almost to equality or identity.
3669	omoiwV	Homoios	hom-oy'-oce	Adverb	3668	Likewise, equally, in the same way.
3670	omoiwsiV	Homoiosis	hom-oy'-o-sis	Noun Feminine	3669	1. A making like.\2. Likeness: after the likeness of God.
3671	omologew	Homologeo	hom-ol-og-eh'-o	Verb	3670	1. To say the same thing as another, i.e. to agree with, assent.\2. To concede.\    A. not to refuse, to promise.\    B. not to deny.\        1. To confess.\        2. Declare.\        3. To confess, i.e. to admit or declare one's self guilty of what one is accused of.\3. To profess.\    A. to declare openly, speak out freely.\    B. to profess one's self the worshipper of one.\4. To praise, celebrate.
3672	omologia	Homologia	hom-ol-og-ee'-ah	Noun Feminine	3671	1. Profession.\    A. subjectively: whom we profess to be ours.\    B. objectively: profession [confession] i.e. what one professes [confesses].
3673	omologoumenwV	Homologoumenos	hom-ol-og-ow-men'-oce	Adverb	3672	By consent of all, confessedly, without controversy.
3674	omotecnoV	Homotechnos	hom-ot'-ekh-nos	Adjective	3673	Practising the same trade or craft, of the same trade.
3675	omou	Homou	hom-oo'	Adverb	3674	Together: of persons assembled together.
3676	omofrwn	Homophron	hom-of'-rone	Adjective	3675	Of one mind, concordant.
3677	omwV	Homos	hom'-oce	Adverb	3676	Nevertheless, yet.
3678	onar	Onar	on'-ar	Noun Neuter	3677	A dream.
3679	onarion	Onarion	on-ar'-ee-on	Noun Neuter	3678	A little ass.
3680	oneidizw	Oneidizo	on-i-did'-zo	Verb	3679	1. To reproach, upbraid, revile.\    A. of deserved reproach.\    B. of undeserved reproach, to revile.\    C. to upbraid, cast (favours received) in one's teeth.
3681	oneidismoV	Oneidismos	on-i-dis-mos'	Noun Masculine	3680	1. A reproach.
3682	oneidoV	Oneidos	on'-i-dos	Noun Neuter	3681	1. Reproach.\2. Shame.
3683	OnhsimoV	Onesimos	on-ay'-sim-os	Noun Masculine	3682	Onesimus = "profitable or useful".\A Christian slave of Philemon.
3684	OnhsiforoV	Onesiphoros	on-ay-sif'-or-os	Noun Masculine	3683	Onesiphorus = "bringing profit".\The name of a certain Christian in 2 Ti. 1:16-18, 4:19.
3685	onikoV	Onikos	on-ik-os'	Adjective	3684	1. Of or for an ass, turned by an ass.\    A. These beasts were often employed to turn millstones.
3686	oninhmi	Oninemi	on-in'-ay-mee	Verb	3685	1. To be useful, to profit, help.\2. To receive profit or advantage, be helped [or have joy].
3687	onoma	Onoma	on'-om-ah	Noun Neuter	3686	1. Name: univ. of proper names.\2. The name is used for everything which the name covers, everything the thought or feeling of which is aroused in the mind by mentioning, hearing, remembering, the name, i.e. for one's rank, authority, interests, pleasure, command, excellences, deeds etc.\3. Persons reckoned up by name.\4. The cause or reason named.
3688	onomazw	Onomazo	on-om-ad'-zo	Verb	3687	1. To name.\    A. to name, to utter, to make mention of the name.\    B. to name.\        1. Give name to, one.\        2. Be named 1b.\    C. to bear the name of a person or thing.\    D. to utter the name of a person or thing.
3689	onoV	Onos	on'-os	Noun	3688	An ass.
3690	ontwV	Ontos	on'-toce	Adverb	3689	1. Truly, in reality, in point of fact, as opp. to what is pretended, fictitious, false, conjectural.\2. That which is truly etc., that which is indeed.
3691	oxoV	Oxos	oz-os	Noun Neuter	3690	1. Vinegar.\    A. the mixture of sour wine or vinegar and water which the Roman soldiers were accustomed to drink.
3692	oxuV	Oxus	oz-oos'	Adjective	3691	1. Sharp.\2. Swift, quick.
3693	oph	Ope	op-ay'	Noun Feminine	3692	1. Through which one can see, an opening, an aperture.\    A. of a window.\    B. of fissures in the earth.\    C. of caves in rocks or mountains, holes.
3694	opisqen	Opisthen	op'-is-then	Adjective	3693	From behind, on the back, behind, after.
3695	opisw	Opiso	op-is'-o	Adverb	3694	1. Back, behind, after, afterwards.\    A. of place: things that are behind.\    B. of time: after.
3696	oplizw	Hoplizo	hop-lid'-zo	Verb	3695	1. To arm, furnish with arms.\2. To provide.\3. To furnish one's self with a thing (as with arms).\4. Metaph. take on the same mind.
3697	oplon	Hoplon	hop'-lon	Noun Neuter	3696	1. Any tool or implement for preparing a thing.\    A. arms used in warfare, weapons.\2. An instrument.
3698	opoioV	Hopoios	hop-oy'-os		3697	Of what sort or quality, what manner of.
3699	opote	Hopote	hop-ot'-eh		3698	When.
3700	opou	Hopou	hop'-oo		3699	Where, whereas.
3701	optanomai	Optanomai	op-tan'-om-ahee	Verb	3700	1. To look at, behold.\2. To allow one's self to be seen, to appear.
3702	optasia	Optasia	op-tas-ee'-ah	Noun Feminine	3701	1. The act of exhibiting one's self to view.\2. A sight, a vision, an appearance presented to one whether asleep or awake.
3703	optoV	Optos	op-tos'	Adjective	3702	Cooked, broiled.
3704	opwra	Opora	op-o'-rah	Noun Feminine	3703	1. The season which succeeds summer, from the rising of Sirius to that of Arcturus, i.e. from late summer, early autumn, our dog days.\2. Ripe fruits (of trees).
3705	opwV	Hopos	hop'-oce		3704	How, that.
3706	orama	Horama	hor'-am-ah	Noun Neuter	3705	1. That which is seen, spectacle.\2. A sight divinely granted in an ecstasy or in a sleep, a vision.
3707	orasiV	Horasis	hor'-as-is	Noun Feminine	3706	1. The act of seeing.\    A. the sense of sight, the eyes.\2. Appearance, visible form.\3. A vision.\    A. an appearance divinely granted in an ecstasy or dream.
3708	oratoV	Horatos	hor-at-os'	Adjective	3707	Visible, open to view.
3709	oraw	Horao	hor-ah'-o	Verb	3708	1. To see with the eyes.\2. To see with the mind, to perceive, know.\3. To see, i.e. become acquainted with by experience, to experience.\4. To see, to look to.\    A. to take heed, beware.\    B. to care for, pay heed to.\5. I was seen, showed myself, appeared.
3710	orgh	Orge	or-gay'	Noun Feminine	3709	1. Anger, the natural disposition, temper, character.\2. Movement or agitation of the soul, impulse, desire, any violent emotion, but esp. anger.\3. Anger, wrath, indignation.\4. Anger exhibited in punishment, hence used for punishment itself.\    A. of punishments inflicted by magistrates.
